,reviews.text,reviews.doRecommend
0,This product is fast a stylish. Good battery life. Helps to be a regular Amazon client.,True
1,Previous owner of an older kindle. Love the touch pad and back light on the voyage.,True
2,"Super Slow, Would not download, Returned after a week",False
3,"Gave as a Christmas gift. Don't know how good it works, or anything about it",False
4,I LOVE THIS ECHO AND ITS HANDS FREE. LOUD SPEAKERS,True
5,"I like the Alexa, although it is pricey. It makes choosing music and getting certain information easy. I would like some flexibility to change its name, though.",True
6,Did not think I would like this product. I now own two!,True
7,I got these for my children for Christmas they are great for them for the size,True
8,Bought for Friends Anniversary they love it the first one was damaged no hassle return,True
9,"Alexa is fun and witty and. Very convenient,, especially when I need a timer when cooking.",True
10,Bought it for my nephew and he loved it. Great purchase,True
11,I bought this as a gift for my father. He absolutely loves it!!,True
12,The Apple Watch is great. I am very happy with the purchase.,True
13,The Amazon fire 8 is by far one of the easiest tablets to navigate through all the Apps and with PRIME membership it's truly a very easy and good sturdy design.,True
14,Purchased for my mom and she said it was very easy to use.,True
15,Nicer than my old fire. Better screen area to view,True
16,Love the product. It is amazing for streaming and has wide range of applications. Great Product overall.,True
17,Definitely the best streaming box in the market especially the new 4K version. I love this box better than Apple box.,True
18,restricts use of some web pages- including barnes and nobles where I have a library- useless to read the books in my Barnes library,False
19,"Amazon makes an amazing product that turns any tv into a smart TV. Slim, sleek and extremely easy to install and use.",True
20,"I use my Fire to read, play games, browse, view Facebook, and much more. Great product for the price!",True
21,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,False
22,this item was cheap and good in use. I had no problems with this item.,True
23,This was the perfect product for my family as it provides tons of streaming resources!,True
24,"Was excited to get this product for its sheer portability alone (doesn't need to be plugged into an electrical outlet all the time like we have to do with our Echo Dot), but was pleasantly surprised with the sound quality and volume! We prefer this over our outdoor bluetooth speaker, and its ""Hands-Free"" mode is a great updated feature (though we try not to keep it on that setting too long because it does drain the battery faster)...",True
25,Bought for my 8 year Old Granddaughter. She loved it,True
26,"Best purchase ever, my eyes are getting bad with age and reading on my phone No longer works, great product for the price",True
27,Bought for my kids and they love it! Amazon on top again,True
28,"The Fire TV is great for Netflix, Hulu and Amazon Prime streaming! Fast OS, great remote and has Alexa integration.",True
29,I was excited about purchasing the Amazon echo but when I received it after about 2 weeks I had to return it because a lot of times Alexa did not hear me or understand what I asked.,False
30,"Bought this tablet for my kiddos. Pretty good, easy to use",True
31,This tablet is easy to use especially for parents who are not really good in using gadgets,True
32,Excellent quality. Easy to set up. Works great. Definitely recommend.,True
33,This tablet works as expected. I would recommend this tablet to anyone who needs a new tablet with great battery life.,True
34,"When companies play nice with each other... the customers win. This product is fairly novel if you aren't completely bought in to the Amazon ecosystem. I would use it way more if they played nice with Apple services. I know it's a competitor, but if both companies goals are to build an awesome product for a customer, they should play nice.",False
35,"Unless you have fiber optic internet, don't buy this. If you have ATT Uverse it will mess up the TV, lower the speed of your internet, and play havoc with the phone.It has not worked yet since getting it, since I only have 25mgb of internet, and it really does not work at that speed at all.",False
36,"It makes it the perfect gift,Not too big,Not too small...perfect",True
37,I brought it for my grandson. He enjoying his tablet,True
38,"Great tablet! User friendly.....size good, eAsy setup..",True
